Utterance,Speaker,Emotion,Strategy,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
Three younger sisters and,Client,disgust,undefined,491,10,2,11,"00:11:58,286","00:11:59,878"
dozens of colleagues.,Client,disgust,undefined,491,11,2,11,"00:12:00,678","00:12:02,179"
When men look at a woman like,Client,neutral,undefined,491,12,2,11,"00:12:11,175","00:12:13,880"
"Stefanie, they just see the whole package.",Client,neutral,undefined,491,13,2,11,"00:12:14,005","00:12:16,192"
And what would that be?,Therapist,neutral,Open question,491,14,2,11,"00:12:17,502","00:12:19,660"
"Easy and fun and, you know,",Client,neutral,undefined,491,15,2,11,"00:12:20,503","00:12:23,726"
wild in bed at night,Client,neutral,undefined,491,16,2,11,"00:12:23,851","00:12:26,355"
and muffins from scratch in the morning.,Client,neutral,undefined,491,17,2,11,"00:12:26,480","00:12:28,790"
"And what do they see when they look at you, do you think?",Therapist,neutral,Guiding the Pace and Depth of the Conversation,491,18,2,11,"00:12:29,166","00:12:32,083"
"Blonde lawyer,",Client,neutral,undefined,491,19,2,11,"00:12:36,256","00:12:37,885"
"might be fun to fuck, but...",Client,neutral,undefined,491,20,2,11,"00:12:39,706","00:12:41,051"
But what?,Therapist,neutral,Open question,491,21,2,11,"00:12:41,798","00:12:42,884"
But that's it.,Client,neutral,undefined,491,22,2,11,"00:12:47,093","00:12:48,324"
What I usually get...,Client,depression,undefined,492,0,2,11,"00:12:51,149","00:12:53,554"
What I usuallygot from men is sex.,Client,depression,undefined,492,1,2,11,"00:12:54,087","00:12:57,259"
What did you get from Laura?,Client,depression,undefined,492,2,2,11,"00:13:03,677","00:13:05,338"
Do you think that I chose her over you?,Therapist,neutral,Open question,492,3,2,11,"00:13:07,428","00:13:09,681"
"Well, you had sex with her.",Client,depression,undefined,492,4,2,11,"00:13:11,692","00:13:13,402"
Would that make you jealous?,Therapist,neutral,Open question,492,5,2,11,"00:13:15,059","00:13:16,825"
"Well, I did have feelings for you, Paul.",Client,depression,undefined,492,6,2,11,"00:13:19,801","00:13:22,163"
"Even though it was 20 years ago, you must have noticed.",Client,depression,undefined,492,7,2,11,"00:13:24,633","00:13:27,737"
And it sure felt like you had feelings for me.,Client,depression,undefined,492,8,2,11,"00:13:29,314","00:13:31,983"
"It's such a cliche, isn't it... A young woman falls for her therapist?",Client,depression,undefined,492,9,2,11,"00:13:32,944","00:13:36,927"
But if you were gonna get involved with a patient...,Client,depression,undefined,492,10,2,11,"00:13:38,521","00:13:40,992"
You wonder why I didn't pick you.,Therapist,neutral,Interpretation,492,11,2,11,"00:13:41,117","00:13:43,061"
You didn't.,Client,depression,undefined,492,12,2,11,"00:13:44,101","00:13:45,101"
You picked her.,Client,depression,undefined,492,13,2,11,"00:13:46,821","00:13:48,071"
You and Laura fucking your brains out.,Client,anger,undefined,492,14,2,11,"00:13:50,870","00:13:52,622"
"What, on this couch?",Client,anger,undefined,492,15,2,11,"00:13:53,716","00:13:55,678"
That makes me sick.,Client,anger,undefined,493,0,2,11,"00:13:57,928","00:13:59,534"
I don't want to talk about it. Don't make me talk about it.,Client,anger,undefined,493,1,2,11,"00:14:00,479","00:14:03,382"
What would happen if we did keep talking about it?,Therapist,neutral,Open question,493,2,2,11,"00:14:04,589","00:14:07,367"
I bet you wanted her from day one.,Client,depression,undefined,493,3,2,11,"00:14:08,443","00:14:10,437"
You were smitten.,Client,depression,undefined,493,4,2,11,"00:14:12,553","00:14:13,851"
How did you manage to walk her to the door?,Client,depression,undefined,493,5,2,11,"00:14:14,994","00:14:17,421"
You assume that I found her irresistible.,Therapist,neutral,Restatement,493,6,2,11,"00:14:17,678","00:14:20,718"
She knew how to get to you.,Client,depression,undefined,493,7,2,11,"00:14:22,107","00:14:23,712"
How?,Therapist,neutral,Open question,493,8,2,11,"00:14:24,367","00:14:25,367"
Act helpless and girlish.,Client,depression,undefined,493,9,2,11,"00:14:28,914","00:14:32,198"
She probably had slim hips...,Client,depression,undefined,493,10,2,11,"00:14:34,332","00:14:37,493"
"Smelled like candy apples,",Client,depression,undefined,493,11,2,11,"00:14:40,727","00:14:42,535"
"wore pink or something. Obviously, I have no idea.",Client,depression,undefined,493,12,2,11,"00:14:44,075","00:14:47,386"
Go on.,Therapist,neutral,Communication Skills,493,13,2,11,"00:14:49,021","00:14:49,970"
What do you imagine?,Therapist,neutral,Open question,493,14,2,11,"00:14:50,747","00:14:52,197"
"She'd stare at you all googoo-eyed,",Client,depression,undefined,493,15,2,11,"00:14:53,465","00:14:56,500"
"impressed by your brilliant interpretations,",Client,depression,undefined,493,16,2,11,"00:14:56,625","00:15:00,190"
made you feel like the world's best shrink.,Client,depression,undefined,493,17,2,11,"00:15:01,533","00:15:04,341"
And then one day her fiance got mad and she fell apart,Client,depression,undefined,493,18,2,11,"00:15:07,437","00:15:10,566"
and sobbed.,Client,depression,undefined,493,19,2,11,"00:15:12,176","00:15:13,382"
"And you felt sorry for her,",Client,depression,undefined,493,20,2,11,"00:15:15,030","00:15:16,720"
so you sat next to her.,Client,depression,undefined,493,21,2,11,"00:15:20,141","00:15:21,690"
Go on.,Therapist,neutral,Communication Skills,493,22,2,11,"00:15:26,091","00:15:27,091"
And you touched her...,Client,depression,undefined,493,23,2,11,"00:15:31,253","00:15:32,803"
"Her cheek, her tears.",Client,depression,undefined,493,24,2,11,"00:15:33,739","00:15:36,408"
And you realized how young and beautiful and vulnerable she was.,Client,depression,undefined,494,0,2,11,"00:15:37,016","00:15:41,013"
"And you thought, this is my moment.",Client,depression,undefined,494,1,2,11,"00:15:41,935","00:15:44,231"
And you kissed her and there was no turning back.,Client,depression,undefined,494,2,2,11,"00:15:45,924","00:15:48,646"
Why not?,Therapist,neutral,Open question,494,3,2,11,"00:15:51,689","00:15:52,689"
"You had to have her,",Client,depression,undefined,494,4,2,11,"00:15:54,923","00:15:56,510"
unwrap her.,Client,depression,undefined,494,5,2,11,"00:15:57,692","00:15:58,708"
Take her.,Client,depression,undefined,494,6,2,11,"00:15:59,614","00:16:00,649"
And you had to feel her perfect skin and her round ass,Client,depression,undefined,494,7,2,11,"00:16:04,907","00:16:07,887"
and her flat stomach.,Client,depression,undefined,494,8,2,11,"00:16:08,012","00:16:09,454"
It must've been amazing for you...,Client,depression,undefined,494,9,2,11,"00:16:14,236","00:16:16,184"
So forbidden.,Client,depression,undefined,494,10,2,11,"00:16:17,379","00:16:18,598"
And for her?,Therapist,neutral,Open question,494,11,2,11,"00:16:22,439","00:16:23,473"
She probably didn't feel a thing. She's made out of silicone.,Client,depression,undefined,494,12,2,11,"00:16:27,034","00:16:30,253"
"Right, the sex doll.",Therapist,neutral,Restatement,494,13,2,11,"00:16:30,574","00:16:33,036"
It wasn't about the sex for her.,Client,depression,undefined,494,14,2,11,"00:16:34,211","00:16:36,396"
It was about winning.,Client,depression,undefined,494,15,2,11,"00:16:36,521","00:16:37,936"
What did she win?,Therapist,neutral,Open question,494,16,2,11,"00:16:39,365","00:16:40,715"
You.,Client,neutral,undefined,494,17,2,11,"00:16:41,754","00:16:42,754"
For those minutes you were hers.,Client,depression,undefined,494,18,2,11,"00:16:49,348","00:16:51,292"
Now do you want me to go?,Client,depression,undefined,494,19,2,11,"00:16:57,092","00:16:58,701"
I'd rather know what you think happened next.,Therapist,neutral,Self-disclosure,494,20,2,11,"00:17:02,662","00:17:05,115"
I don't know.,Client,depression,undefined,494,21,2,11,"00:17:05,240","00:17:06,240"
Maybe you held her,Client,depression,undefined,495,0,2,11,"00:17:07,678","00:17:09,009"
gently until she fell asleep.,Client,depression,undefined,495,1,2,11,"00:17:11,446","00:17:14,009"
And she would like that?,Therapist,neutral,Open question,495,2,2,11,"00:17:15,958","00:17:17,719"
That's what would make her feel good?,Therapist,neutral,Open question,495,3,2,11,"00:17:22,162","00:17:24,835"
That's what she really wants?,Therapist,neutral,Open question,495,4,2,11,"00:17:28,213","00:17:29,985"
Yes.,Client,depression,undefined,495,5,2,11,"00:17:33,467","00:17:34,467"
It's good to feel that closeness.,Therapist,neutral,Approval,495,6,2,11,"00:17:37,022","00:17:38,855"
Maybe that's what you want from me.,Therapist,neutral,Interpretation,495,7,2,11,"00:17:45,601","00:17:47,711"
"You mean, to fall asleep while you hold me?",Client,depression,undefined,495,8,2,11,"00:17:49,360","00:17:51,832"
"To be comforted, contained.",Therapist,neutral,Interpretation,495,9,2,11,"00:17:53,991","00:17:57,319"
That would never happen.,Client,depression,undefined,495,10,2,11,"00:18:01,915","00:18:04,346"
Why not?,Therapist,neutral,Open question,495,11,2,11,"00:18:01,915","00:18:04,346"
"Oh, come on, Paul, just admit that I'm difficult.",Client,depression,undefined,495,12,2,11,"00:18:07,491","00:18:10,351"
I push men away.,Client,depression,undefined,495,13,2,11,"00:18:14,096","00:18:15,742"
Look at Bennett and Andre...,Client,depression,undefined,495,14,2,11,"00:18:17,683","00:18:19,690"
"I mean, pick any letter in the alphabet. I've sent them packing.",Client,depression,undefined,495,15,2,11,"00:18:19,815","00:18:23,662"
I'm like a knife in your neck.,Client,depression,undefined,495,16,2,11,"00:18:24,059","00:18:25,876"
It feels good when it's gone.,Client,depression,undefined,495,17,2,11,"00:18:26,837","00:18:28,543"
Right?,Client,depression,undefined,495,18,2,11,"00:18:29,871","00:18:30,858"
So you think I'd be relieved if you left?,Therapist,neutral,Restatement,495,19,2,11,"00:18:31,128","00:18:33,110"
Sure.,Client,depression,undefined,495,20,2,11,"00:18:33,280","00:18:34,280"
I walk out that door... You feel relief.,Client,depression,undefined,495,21,2,11,"00:18:35,162","00:18:37,647"
You want to pretend it never happened.,Client,depression,undefined,495,22,2,11,"00:18:38,881","00:18:41,932"
"Actually, I already told you,",Therapist,neutral,Self-disclosure,495,23,2,11,"00:18:42,161","00:18:43,998"
I did think about our last session,Therapist,neutral,Self-disclosure,495,24,2,11,"00:18:46,055","00:18:48,419"
and the ones from 20 years ago.,Therapist,neutral,Self-disclosure,495,25,2,11,"00:18:50,160","00:18:52,881"
"You know, it's okay, Paul. You don't have to fake it with me.",Client,neutral,undefined,496,0,2,11,"00:18:54,022","00:18:57,332"
You kicked me out of here 20 years ago and you never thought about me again.,Client,neutral,undefined,496,1,2,11,"00:18:58,850","00:19:02,737"
It's okay.,Client,neutral,undefined,496,2,2,11,"00:19:06,444","00:19:07,444"
You know who that is?,Therapist,neutral,Open question,496,3,2,11,"00:20:12,950","00:20:14,500"
"That's you playing, isn't t it?",Therapist,neutral,Open question,496,4,2,11,"00:20:15,127","00:20:17,307"
It's beautififul.,Therapist,neutral,Approval,496,5,2,11,"00:20:19,135","00:20:20,485"
You kept that all these years?,Client,joy,undefined,496,6,2,11,"00:20:21,895","00:20:23,718"
Chopin's raindrop prelude.,Client,joy,undefined,496,7,2,11,"00:20:30,111","00:20:32,307"
"God, I love this piece,",Client,joy,undefined,496,8,2,11,"00:20:33,058","00:20:34,899"
how the eighth notes sound like rain.,Client,joy,undefined,496,9,2,11,"00:20:36,754","00:20:38,969"
That's from m a recital.,Client,joy,undefined,496,10,2,11,"00:20:42,432","00:20:44,166"
"My teacher, Mr. Campbell, put that together.",Client,joy,undefined,496,11,2,11,"00:20:44,307","00:20:46,793"
"He said that I was the best, but not to tell the others.",Client,joy,undefined,496,12,2,11,"00:20:50,405","00:20:53,627"
So you two had a secret.,Therapist,neutral,Restatement,496,13,2,11,"00:20:56,121","00:20:57,771"
What age were you then?,Therapist,neutral,Open question,496,14,2,11,"00:21:00,903","00:21:02,551"
I must've been 10.,Client,joy,undefined,496,15,2,11,"00:21:03,386","00:21:04,748"
That turned out to be my farewell performance.,Client,joy,undefined,496,16,2,11,"00:21:06,904","00:21:09,370"
That's a shame.,Therapist,neutral,Approval,496,17,2,11,"00:21:09,495","00:21:10,559"
You play really beautifully.,Therapist,neutral,Approval,496,18,2,11,"00:21:10,729","00:21:12,903"
A few weeks after that recital I was,Client,neutral,undefined,496,19,2,11,"00:21:16,675","00:21:19,463"
sent to live at my aunt's in new jersey.,Client,neutral,undefined,496,20,2,11,"00:21:19,588","00:21:22,558"
I don't remember you telling me you were sent away when you were young.,Therapist,neutral,Restatement,496,21,2,11,"00:21:24,106","00:21:27,057"
It was only about six months.,Client,neutral,undefined,496,22,2,11,"00:21:27,182","00:21:28,619"
"But when I came back, the piano was gone",Client,neutral,undefined,497,0,2,11,"00:21:28,812","00:21:32,016"
and twin girls were there.,Client,neutral,undefined,497,1,2,11,"00:21:33,355","00:21:35,039"
Do you rember anything else about the separation?,Therapist,neutral,Open question,497,2,2,11,"00:21:37,043","00:21:40,746"
My dad came to visit me every sunday.,Client,neutral,undefined,497,3,2,11,"00:21:41,358","00:21:43,525"
He'd bring my favorite candies.,Client,joy,undefined,497,4,2,11,"00:21:45,291","00:21:47,160"
I liked those colored dots,Client,joy,undefined,497,5,2,11,"00:21:48,647","00:21:50,578"
that were stuck to paper,Client,joy,undefined,497,6,2,11,"00:21:50,703","00:21:52,101"
and those bottles filled with that sugary liquid.,Client,joy,undefined,497,7,2,11,"00:21:52,619","00:21:55,513"
And he would show me pictures of the twins.,Client,neutral,undefined,497,8,2,11,"00:21:56,169","00:21:59,184"
And I would tell him that,Client,neutral,undefined,497,9,2,11,"00:21:59,637","00:22:01,259"
I missed them all and wanted to come home.,Client,neutral,undefined,497,10,2,11,"00:22:03,788","00:22:07,325"
But he didn't take you.,Therapist,neutral,Restatement,497,11,2,11,"00:22:07,666","00:22:09,205"
Where was your mother?,Therapist,neutral,Open question,497,12,2,11,"00:22:13,280","00:22:14,930"
"I don't know. I mean,",Client,neutral,undefined,497,13,2,11,"00:22:16,090","00:22:18,205"
"I'm sure she came, maybe at christmas.",Client,neutral,undefined,497,14,2,11,"00:22:18,330","00:22:20,637"
What about the rest of the time?,Therapist,neutral,Open question,497,15,2,11,"00:22:21,538","00:22:23,354"
I went to school.,Client,joy,undefined,497,16,2,11,"00:22:23,640","00:22:24,906"
"It sure was different from Greenpoint, though.",Client,joy,undefined,497,17,2,11,"00:22:25,512","00:22:27,552"
"Gosh, it was so clean...",Client,joy,undefined,497,18,2,11,"00:22:27,721","00:22:29,170"
And modern. And all the textbooks were new.,Client,joy,undefined,497,19,2,11,"00:22:30,377","00:22:33,436"
"I didn't really like the kids, though. I thought they were boring.",Client,neutral,undefined,497,20,2,11,"00:22:34,936","00:22:38,563"
Sounds lonely.,Therapist,neutral,Approval,497,21,2,11,"00:22:38,732","00:22:40,095"
Maybe that's why you gave me that casassette...,Therapist,neutral,Interpretation,497,22,2,11,"00:22:41,881","00:22:44,108"
Because I'd know how you felt when you were 10,Therapist,neutral,Interpretation,497,23,2,11,"00:22:44,233","00:22:46,990"
and your parents made you leave.,Therapist,neutral,Interpretation,497,24,2,11,"00:22:47,158","00:22:49,012"
"Maybe you thought if I listened to it back then,",Therapist,neutral,Interpretation,497,25,2,11,"00:22:50,404","00:22:53,067"
"I would change my mind, let you stay.",Therapist,neutral,Interpretation,497,26,2,11,"00:22:54,363","00:22:57,061"
But I was difficult even then.,Client,depression,undefined,497,27,2,11,"00:22:57,256","00:23:00,563"
You think you deserved it.,Therapist,neutral,Restatement,497,28,2,11,"00:22:57,256","00:23:00,563"
I was impossible.,Client,depression,undefined,497,29,2,11,"00:23:00,688","00:23:02,538"
How so?,Therapist,neutral,Open question,497,30,2,11,"00:23:00,688","00:23:02,538"
I fought with my mother all the time.,Client,depression,undefined,497,31,2,11,"00:23:02,663","00:23:05,297"
Over what?,Therapist,neutral,Open question,497,32,2,11,"00:23:05,422","00:23:07,634"
Everything.,Client,depression,undefined,497,33,2,11,"00:23:05,422","00:23:07,634"
You were a difficult 10-year-old who loved chopin.,Therapist,neutral,Approval,497,34,2,11,"00:23:07,804","00:23:10,405"
I don't know why we're talking about this.,Client,depression,undefined,498,0,2,11,"00:23:10,682","00:23:12,796"
They didn't do anything wrong and I don't blame them.,Client,depression,undefined,498,1,2,11,"00:23:12,921","00:23:15,642"
Earlier in the session you said that you didn't blame me.,Therapist,neutral,Restatement,498,2,2,11,"00:23:15,812","00:23:19,141"
I crossed the line. I violated attorney-client privilege.,Client,neutral,undefined,498,3,2,11,"00:23:19,328","00:23:22,842"
You thought I was kicking you out.,Therapist,neutral,Self-disclosure,498,4,2,11,"00:23:23,409","00:23:25,608"
"Well, I bet you wanted to, right?",Client,neutral,undefined,498,5,2,11,"00:23:25,796","00:23:28,001"
"I'm wondering, Mia, if you were testing me today.",Therapist,neutral,Self-disclosure,498,6,2,11,"00:23:28,376","00:23:31,327"
You reprimanded me for being late.,Therapist,neutral,Interpretation,498,7,2,11,"00:23:32,312","00:23:34,288"
You violated my privacy.,Therapist,neutral,Interpretation,498,8,2,11,"00:23:34,566","00:23:36,296"
You even wanted me to pick up the deposition of the floor.,Therapist,neutral,Interpretation,498,9,2,11,"00:23:36,909","00:23:39,416"
"Well, I was pretty angry.",Client,neutral,undefined,498,10,2,11,"00:23:39,689","00:23:42,157"
Maybe you were trying to see,Therapist,neutral,Interpretation,498,11,2,11,"00:23:42,532","00:23:44,474"
if I could be pushed away.,Therapist,neutral,Interpretation,498,12,2,11,"00:23:45,393","00:23:47,781"
So you're saying that...,Client,anger,undefined,498,13,2,11,"00:23:48,718","00:23:50,722"
my parents were right and Bennett was right;,Client,anger,undefined,498,14,2,11,"00:23:50,958","00:23:53,017"
that I'm so fucked up that nobody wants to be with me,Client,anger,undefined,498,15,2,11,"00:23:53,142","00:23:55,656"
because I push everyoyone away,Client,anger,undefined,498,16,2,11,"00:23:55,781","00:23:57,632"
and I'm demanding and I'm needy and I'm angry and I'm weepy?,Client,anger,undefined,498,17,2,11,"00:23:58,312","00:24:02,126"
I'm the seven fucking dwarves.,Client,anger,undefined,498,18,2,11,"00:24:04,019","00:24:07,861"
"That's not what I'm saying, Mia.",Therapist,neutral,Interpretation,498,19,2,11,"00:24:04,019","00:24:07,861"
"What I'm saying is that maybe you are angry,",Therapist,neutral,Interpretation,498,20,2,11,"00:24:08,067","00:24:10,592"
but you also want me to be close to you;,Therapist,neutral,Interpretation,498,21,2,11,"00:24:11,703","00:24:13,949"
"and that no matter how difficult you say you are,",Therapist,neutral,Interpretation,498,22,2,11,"00:24:14,576","00:24:17,898"
that beneath the toughness you still want to be connected to me.,Therapist,neutral,Interpretation,498,23,2,11,"00:24:18,023","00:24:21,243"
But you're also afraid.,Therapist,neutral,Interpretation,498,24,2,11,"00:24:21,515","00:24:23,265"
You're afraid that I'm going to leave you.,Therapist,neutral,Interpretation,498,25,2,11,"00:24:24,232","00:24:26,565"
I'd better leave.,Client,neutral,undefined,499,0,2,11,"00:24:47,191","00:24:48,887"
They're early.,Therapist,neutral,Communication Skills,499,1,2,11,"00:24:49,070","00:24:50,259"
It's okay.,Therapist,neutral,Communication Skills,499,2,2,11,"00:24:51,712","00:24:52,718"
I have a meeting and I don't want to be late.,Client,neutral,undefined,499,3,2,11,"00:24:54,090","00:24:57,382"
And you don't want to keep the next one waiting.,Client,neutral,undefined,499,4,2,11,"00:24:57,507","00:24:59,986"
So then...,Therapist,neutral,Structuring the therapy,499,5,2,11,"00:25:01,655","00:25:02,807"
I'll see you next monday same time?,Therapist,neutral,Structuring the therapy,499,6,2,11,"00:25:05,263","00:25:08,682"
You owe me,Client,neutral,undefined,499,7,2,11,"00:25:11,527","00:25:12,798"
the 12 minutes.,Client,neutral,undefined,499,8,2,11,"00:25:14,846","00:25:16,029"
"Okay, then I'll see you at...",Therapist,neutral,Structuring the therapy,499,9,2,11,"00:25:17,293","00:25:19,086"
6:48.,Therapist,neutral,Structuring the therapy,499,10,2,11,"00:25:19,288","00:25:22,096"
Okay.,Client,neutral,undefined,499,11,2,11,"00:25:19,288","00:25:22,096"
Did you have sex with Laura?,Client,neutral,undefined,499,12,2,11,"00:25:25,118","00:25:27,118"
"You know, this is the second week in a row",Therapist,neutral,Structuring the therapy,499,13,2,11,"00:25:30,417","00:25:32,791"
we're having what's called a doorknob moment.,Therapist,neutral,Structuring the therapy,499,14,2,11,"00:25:33,000","00:25:36,321"
What a are you talking about?,Client,neutral,undefined,499,15,2,11,"00:25:36,746","00:25:38,355"
"That's when right at the end of the session, a patient says something",Therapist,neutral,Interpretation,499,16,2,11,"00:25:38,480","00:25:42,315"
important.,Therapist,neutral,Interpretation,499,17,2,11,"00:25:43,603","00:25:44,627"
Is that your answer? 'cause that's a yes.,Client,neutral,undefined,499,18,2,11,"00:25:46,260","00:25:48,879"
Is it?,Client,neutral,undefined,499,19,2,11,"00:25:49,311","00:25:50,311"
"I mean, did you?",Client,neutral,undefined,499,20,2,11,"00:25:50,853","00:25:52,165"
No.,Therapist,neutral,Communication Skills,499,21,2,11,"00:25:55,216","00:25:56,216"
You might want to water the plant outside.,Client,neutral,undefined,499,22,2,11,"00:26:07,353","00:26:09,589"
I poureded my latte on it.,Client,neutral,undefined,499,23,2,11,"00:26:09,714","00:26:11,853"
Thanks for seeing me.,Client,neutral,undefined,500,0,2,12,"00:01:22,691","00:01:24,240"
I was on my way to school to turn this in and...,Client,neutral,undefined,500,1,2,12,"00:01:25,850","00:01:28,310"
"I don't know why I did it, but I came here instead.",Client,neutral,undefined,500,2,2,12,"00:01:29,587","00:01:32,414"
This is...,Therapist,neutral,Open question,500,3,2,12,"00:01:32,784","00:01:33,826"
The big project you mentioned?,Therapist,neutral,Open question,500,4,2,12,"00:01:34,850","00:01:36,690"
Would you mind if I had a look at it?,Therapist,neutral,Open question,500,5,2,12,"00:01:39,760","00:01:41,535"
"No, go ahead if you're interested in shit.",Client,disgust,undefined,500,6,2,12,"00:01:41,760","00:01:44,371"
That's really cool.,Therapist,neutral,Approval,500,7,2,12,"00:02:05,466","00:02:06,789"
It's supposed to be a World Trade Center memorial...,Client,neutral,undefined,500,8,2,12,"00:02:08,854","00:02:11,736"
Of course.,Client,neutral,undefined,500,9,2,12,"00:02:12,125","00:02:13,305"
What do you mean of course?,Therapist,neutral,Open question,500,10,2,12,"00:02:14,510","00:02:16,088"
Because god forbid any architecture student,Client,disgust,undefined,500,11,2,12,"00:02:16,549","00:02:18,570"
in the country gets another assignment ever again.,Client,disgust,undefined,500,12,2,12,"00:02:18,695","00:02:20,803"
I'm sorry. I'm an asshole.,Client,neutral,undefined,500,13,2,12,"00:02:22,842","00:02:24,382"
Don't listen to me.,Client,neutral,undefined,500,14,2,12,"00:02:24,658","00:02:26,959"
"No, I think it's just...",Therapist,neutral,Approval,500,15,2,12,"00:02:24,658","00:02:26,959"
I think it's beautiful.,Therapist,neutral,Approval,500,16,2,12,"00:02:27,400","00:02:28,912"
It's really...,Therapist,neutral,Approval,500,17,2,12,"00:02:30,987","00:02:32,069"
Exquisitely done.,Therapist,neutral,Approval,500,18,2,12,"00:02:33,891","00:02:35,262"
Very beautiful.,Therapist,neutral,Approval,500,19,2,12,"00:02:37,237","00:02:38,373"
I'm so tired.,Client,neutral,undefined,501,0,2,12,"00:02:39,850","00:02:41,033"
You haven't been sleeping this week?,Therapist,neutral,Open question,501,1,2,12,"00:02:42,111","00:02:43,876"
"No, not at all.",Client,neutral,undefined,501,2,2,12,"00:02:44,121","00:02:45,567"
Between my anxiety and my lymphoma,Client,depression,undefined,501,3,2,12,"00:02:46,599","00:02:50,207"
there's just never a good time.,Client,depression,undefined,501,4,2,12,"00:02:50,557","00:02:52,607"
That was supposed to be a joke.,Client,neutral,undefined,501,5,2,12,"00:02:55,464","00:02:57,172"
Was it funny?,Client,neutral,undefined,501,6,2,12,"00:02:57,381","00:02:59,372"
I don't think so.,Therapist,neutral,Self-disclosure,501,7,2,12,"00:02:57,381","00:02:59,372"
Neither do i.,Client,neutral,undefined,501,8,2,12,"00:03:02,475","00:03:03,689"
Can I just... Do you mind?,Client,neutral,undefined,501,9,2,12,"00:03:11,952","00:03:13,647"
I tried so hard to sleep last night.,Client,depression,undefined,501,10,2,12,"00:03:18,050","00:03:20,153"
"It was 2:00 a.m., I was out of ideas",Client,depression,undefined,501,11,2,12,"00:03:21,055","00:03:23,759"
"and my hands were shaking so badly, I was afraid I'd wreck the whole thing",Client,depression,undefined,501,12,2,12,"00:03:24,649","00:03:28,236"
"if I tried to keep working on it,",Client,depression,undefined,501,13,2,12,"00:03:28,361","00:03:30,163"
so I put it in the box.,Client,depression,undefined,501,14,2,12,"00:03:30,727","00:03:32,186"
"I changed my sheets, I...",Client,depression,undefined,501,15,2,12,"00:03:33,248","00:03:35,098"
"lit candles, put on music.",Client,depression,undefined,501,16,2,12,"00:03:35,379","00:03:37,374"
It sounds like I was trying to seduce myself.,Client,depression,undefined,501,17,2,12,"00:03:40,685","00:03:43,093"
So did you eventually fall asleep?,Therapist,neutral,Open question,501,18,2,12,"00:03:45,519","00:03:47,681"
I couldn't.,Client,depression,undefined,501,19,2,12,"00:03:49,810","00:03:50,937"
My heart was racing and it felt like...,Client,depression,undefined,501,20,2,12,"00:03:52,073","00:03:55,265"
"I don't know. It felt like it wasn't blood running through my veins, it was something else...",Client,depression,undefined,501,21,2,12,"00:03:57,216","00:04:00,193"
"Fire, poison.",Client,depression,undefined,501,22,2,12,"00:04:01,322","00:04:02,870"
I just... I wanted to...,Client,depression,undefined,501,23,2,12,"00:04:03,650","00:04:05,030"
open myself up and get it all out somehow.,Client,depression,undefined,501,24,2,12,"00:04:05,964","00:04:08,577"
Slit my wrists or take off my own head.,Client,depression,undefined,501,25,2,12,"00:04:08,745","00:04:12,039"
I would never. Don't worry.,Client,depression,undefined,501,26,2,12,"00:04:14,713","00:04:16,496"
I'm just trying to describe how it felt.,Client,depression,undefined,501,27,2,12,"00:04:17,707","00:04:19,951"
It sounds like a terrible night.,Therapist,neutral,Approval,501,28,2,12,"00:04:21,264","00:04:23,030"
I can't have another one like that.,Client,depression,undefined,501,29,2,12,"00:04:23,771","00:04:25,602"
I will lose my mind.,Client,depression,undefined,501,30,2,12,"00:04:26,213","00:04:27,715"
"When you said that the poison was running through your veins,",Therapist,neutral,Restatement,501,31,2,12,"00:04:28,950","00:04:31,823"
Can I tell you what I thought of immediately?,Therapist,neutral,Open question,501,32,2,12,"00:04:32,236","00:04:34,062"
Chemo.,Client,depression,undefined,501,33,2,12,"00:04:34,284","00:04:36,021"
Cancer.,Therapist,neutral,Restatement,501,34,2,12,"00:04:34,284","00:04:36,021"
Same thing.,Client,depression,undefined,501,35,2,12,"00:04:38,049","00:04:39,799"
"No, it isn't.",Therapist,neutral,Interpretation,501,36,2,12,"00:04:38,049","00:04:39,799"
You can choose not to have chemo.,Therapist,neutral,Advisement,501,37,2,12,"00:04:41,467","00:04:43,617"
Touché.,Client,neutral,undefined,501,38,2,12,"00:04:47,367","00:04:48,367"
I had this thought last night...,Client,depression,undefined,502,0,2,12,"00:04:49,945","00:04:51,495"
I just kept thinking it over and over.,Client,depression,undefined,502,1,2,12,"00:04:51,663","00:04:54,046"
It used to happen to me a lot when I was a kid.,Client,depression,undefined,502,2,2,12,"00:04:54,887","00:04:57,253"
"The summer before I went to high school, I got this song stuck in my head",Client,depression,undefined,502,3,2,12,"00:04:58,182","00:05:02,693"
and I couldn't get it out.,Client,depression,undefined,502,4,2,12,"00:05:03,084","00:05:04,708"
I really thought I was going insane.,Client,depression,undefined,502,5,2,12,"00:05:05,497","00:05:07,469"
What do you think it would feel like,Therapist,neutral,Open question,502,6,2,12,"00:05:07,716","00:05:09,469"
to go insane?,Therapist,neutral,Open question,502,7,2,12,"00:05:09,594","00:05:11,256"
Like falling...,Client,depression,undefined,502,8,2,12,"00:05:12,016","00:05:13,266"
Into nothing.,Client,depression,undefined,502,9,2,12,"00:05:14,581","00:05:15,731"
Can we not talk about losing my mind?,Therapist,neutral,Guiding the Pace and Depth of the Conversation,502,10,2,12,"00:05:19,797","00:05:22,229"
